vehicle_id,driver_id,vin,make,model,model_year
V001,D012,WSQT26Q3XLRFCD6MZ,BMW,Camry,2009
V002,D032,Z9SVN7N1YBWMLUNJ4,BMW,Camry,2018
V003,D011,UFM8ZOV7LN23Y30YS,Chevrolet,RAV4,2024
V004,D047,AL8M1G9FK2ST0SX5W,BMW,RAV4,2012
V005,D021,GYW6ZBNZ8V12II826,Honda,F-150,2022
V006,D060,12SPFHV5BRN7ZSEDF,Tesla,Malibu,2012
V007,D056,D6357OONNCILDZMFB,Hyundai,CR-V,2012
V008,D061,QACJ4T0SEKKBP2QD6,BMW,Malibu,2008
V009,D066,UZKAMUGYSM8T2SA5B,Tesla,F-150,2016
V010,D003,MCIXDU1EMMX3Y9RGE,Chevrolet,CR-V,2009
V011,D038,H25LLO3RBXK5BXJ2P,Tesla,CR-V,2020
V012,D044,9RR7S20CV3TLCXLVP,Chevrolet,CR-V,2019
V013,D058,B5M9J98CWN2Y8FV2B,Toyota,Accord,2019
V014,D047,NUVY8N1UTOXIE0RNU,Ford,Civic,2022
V015,D028,9K6RE4Q6QDY4LMCT6,Hyundai,Camry,2013
V016,D047,SEHE2ATN2TWDL9ZS1,Hyundai,Model 3,2012
V017,D041,XQYM52XG8P6BEFFLZ,Ford,Malibu,2017
V018,D011,JWTEKTSG7FXZV4U3B,Toyota,Civic,2014
V019,D074,OXRWK8R2YKCCPRHVL,Chevrolet,F-150,2019
V020,D052,ENULQJIDKNWI5FLUL,Hyundai,Camry,2023
V021,D066,Q5RDOQIVBKV4YKADE,Ford,F-150,2020
V022,D047,BBUNKNQT3WVEDN9UN,Honda,Accord,2024
V023,D052,SBELRQVSLWF90KM3T,Chevrolet,Civic,2023
V024,D003,NY9V20YAR821UZVGW,BMW,RAV4,2012
V025,D032,B8DALFYO1750CEHLX,BMW,RAV4,2018
V026,D023,QTTY5Y2JR8KK791ZY,Tesla,F-150,2023
V027,D045,U7ZKUT6OM1FB8C7X0,Honda,Accord,2016
V028,D072,ZEWVIYTWBOZD1AT7O,Tesla,CR-V,2014
V029,D037,LX6DUT076G5G79OR7,Hyundai,Civic,2009
V030,D002,KV7MQXS6ESJ3L0XZA,Ford,Civic,2014
V031,D023,VWOPLOD9R7ANQJLUU,Ford,F-150,2015
V032,D008,YQFY751YW7NH8RQ9N,Chevrolet,Malibu,2023
V033,D069,231YV2STN7E36HTF4,Tesla,Model 3,2014
V034,D075,R6QCEOUUYLAJAHCPZ,BMW,Model S,2010
V035,D061,BO119XP9N56NYXTXM,Honda,Malibu,2020
V036,D068,E9419QZPNIQFG51BX,BMW,Model S,2015
V037,D027,CVQY5IBPT11F9I6UU,Hyundai,F-150,2015
V038,D039,59SOJUV0GYUBMXNSZ,Tesla,Camry,2017
V039,D049,GTII4FQCOOTNJLCQN,BMW,Accord,2009
V040,D035,NVBC2VYHH6K6HG001,Honda,Accord,2020
V041,D031,T1NTMJSRD9Q46NOUH,Honda,Model S,2016
V042,D071,7UPFLN4RXYJ38XRG2,Honda,Camry,2023
V043,D024,7TXCB48Y1O4IZASNW,Chevrolet,CR-V,2023
V044,D003,ATATJ9A3Y36DDFGS3,Ford,RAV4,2010
V045,D048,8QIZK3C9XBONRWZC4,Chevrolet,F-150,2011
V046,D068,7I6YUJ7YKTXG4AHF3,Hyundai,RAV4,2010
V047,D039,FI4O6L1F90S9BP4M1,BMW,RAV4,2018
V048,D004,W2QITNGVN1KICJN2F,Tesla,F-150,2019
